x,y
38.6,1.8379
38.5,1.83813
38.4,1.83836
38.3,1.83857
38.2,1.83877
38.1,1.83895
38,1.83913
37.9,1.83929
37.8,1.83943
37.7,1.83957
37.6,1.83969
37.5,1.83979
37.4,1.83989
37.3,1.83997
37.2,1.84003
37.1,1.84008
37,1.84012
36.9,1.84015
36.8,1.84016
36.7,1.84016
36.6,1.84015
36.5,1.84012
36.4,1.84008
36.3,1.84002
36.2,1.83995
36.1,1.83987
36,1.83977
35.9,1.83966
35.8,1.83954
35.7,1.8394
35.6,1.83924
35.5,1.83908
35.4,1.8389
35.3,1.8387
35.2,1.83849
35.1,1.83827
35,1.83803
34.9,1.83778
34.8,1.83751
34.7,1.83723
34.6,1.83694
34.5,1.83663
34.4,1.83631
34.3,1.83597
34.2,1.83562
34.1,1.83525
34,1.83487
33.9,1.83447
33.8,1.83406
33.7,1.83363
33.6,1.83319
33.5,1.83273
33.4,1.83226
33.3,1.83178
33.2,1.83128
33.1,1.83076
33,1.83023
32.9,1.82968
32.8,1.82912
32.7,1.82855
32.6,1.82795
32.5,1.82735
32.4,1.82673
32.3,1.82609
32.2,1.82543
32.1,1.82477
32,1.82408
31.9,1.82338
31.8,1.82267
31.7,1.82193
31.6,1.82119
31.5,1.82042
31.4,1.81965
31.3,1.81885
31.2,1.81804
31.1,1.81721
31,1.81637
30.9,1.81551
30.8,1.81464
30.7,1.81375
30.6,1.81284
30.5,1.81192
30.4,1.81098
30.3,1.81002
30.2,1.80905
30.1,1.80806
30,1.80705
29.9,1.80603
29.8,1.80499
29.7,1.80393
29.6,1.80286
29.5,1.80177
29.4,1.80066
29.3,1.79954
29.2,1.7984
29.1,1.79724
29,1.79606
28.9,1.79487
28.8,1.79366
28.7,1.79244
28.6,1.79119
28.5,1.78993
28.4,1.78865
28.3,1.78735
28.2,1.78604
28.1,1.78471
28,1.78336
27.9,1.78199
27.8,1.7806
27.7,1.7792
27.6,1.77778
27.5,1.77634
27.4,1.77488
27.3,1.7734
27.2,1.77191
27.1,1.77039
27,1.76886
26.9,1.76731
26.8,1.76574
26.7,1.76416
26.6,1.76255
26.5,1.76093
26.4,1.75928
26.3,1.75762
26.2,1.75594
26.1,1.75424
26,1.75252
25.9,1.75078
25.8,1.74902
25.7,1.74725
25.6,1.74545
25.5,1.74363
25.4,1.7418
25.3,1.73994
25.2,1.73807
25.1,1.73617
25,1.73426
24.9,1.73232
24.8,1.73037
24.7,1.72839
24.6,1.7264
24.5,1.72438
24.4,1.72234
24.3,1.72029
24.2,1.71821
24.1,1.71611
24,1.71399
23.9,1.71185
23.8,1.70969
23.7,1.70751
23.6,1.70531
23.5,1.70309
23.4,1.70084
23.3,1.69858
23.2,1.69629
23.1,1.69398
23,1.69165
22.9,1.6893
22.8,1.68692
22.7,1.68453
22.6,1.68211
22.5,1.67967
22.4,1.67721
22.3,1.67472
22.2,1.67221
22.1,1.66968
22,1.66713
21.9,1.66456
21.8,1.66196
21.7,1.65934
21.6,1.6567
21.5,1.65403
21.4,1.65134
21.3,1.64862
21.2,1.64589
21.1,1.64313
21,1.64034
20.9,1.63754
20.8,1.6347
20.7,1.63185
20.6,1.62897
20.5,1.62606
20.4,1.62314
20.3,1.62018
20.2,1.61721
20.1,1.6142
20,1.61118
19.9,1.60812
19.8,1.60505
19.7,1.60194
19.6,1.59882
19.5,1.59566
19.4,1.59248
19.3,1.58928
19.2,1.58605
19.1,1.58279
19,1.57951
18.9,1.5762
18.8,1.57286
18.7,1.5695
18.6,1.56611
18.5,1.5627
18.4,1.55925
18.3,1.55578
18.2,1.55229
18.1,1.54876
18,1.54521
17.9,1.54163
17.8,1.53802
17.7,1.53439
17.6,1.53072
17.5,1.52703
17.4,1.52331
17.3,1.51956
17.2,1.51578
17.1,1.51197
17,1.50813
16.9,1.50427
16.8,1.50037
16.7,1.49645
16.6,1.49249
16.5,1.4885
16.4,1.48449
16.3,1.48044
16.2,1.47636
16.1,1.47226
16,1.46812
15.9,1.46395
15.8,1.45975
15.7,1.45551
15.6,1.45125
15.5,1.44695
15.4,1.44262
15.3,1.43826
15.2,1.43386
15.1,1.42944
15,1.42497
14.9,1.42048
14.8,1.41595
14.7,1.41139
14.6,1.4068
14.5,1.40217
14.4,1.3975
14.3,1.3928
14.2,1.38807
14.1,1.3833
14,1.3785
13.9,1.37366
13.8,1.36878
13.7,1.36387
13.6,1.35892
13.5,1.35393
13.4,1.34891
13.3,1.34385
13.2,1.33875
13.1,1.33362
13,1.32844
12.9,1.32323
12.8,1.31798
12.7,1.31269
12.6,1.30736
12.5,1.30199
12.4,1.29658
12.3,1.29114
12.2,1.28565
12.1,1.28011
12,1.27454
11.9,1.26893
11.8,1.26327
11.7,1.25757
11.6,1.25183
11.5,1.24605
11.4,1.24022
11.3,1.23435
11.2,1.22843
11.1,1.22247
11,1.21647
10.9,1.21042
10.8,1.20432
10.7,1.19818
10.6,1.19199
10.5,1.18575
10.4,1.17946
10.3,1.17313
10.2,1.16675
10.1,1.16032
10,1.15384
9.9,1.14731
9.8,1.14073
9.7,1.13409
9.6,1.12741
9.5,1.12068
9.4,1.11389
9.3,1.10705
9.2,1.10015
9.1,1.0932
9,1.0862
8.9,1.07913
8.8,1.07202
8.7,1.06484
8.6,1.05761
8.5,1.05032
8.4,1.04298
8.3,1.03557
8.2,1.0281
8.1,1.02057
8,1.01298
7.9,1.00533
7.8,0.997608
7.7,0.989827
7.6,0.98198
7.5,0.974068
7.4,0.966089
7.3,0.958042
7.2,0.949927
7.1,0.941742
7,0.933486
6.9,0.925159
6.8,0.916759
6.7,0.908285
6.6,0.899737
6.5,0.891113
6.4,0.882411
6.3,0.873631
6.2,0.864772
6.1,0.855832
6,0.84681
5.9,0.837704
5.8,0.828513
5.7,0.819235
5.6,0.80987
5.5,0.800415
5.4,0.790869
5.3,0.781229
5.2,0.771496
5.1,0.761665
5,0.751737
4.9,0.741708
4.8,0.731576
4.7,0.72134
4.6,0.710997
4.5,0.700545
4.4,0.689981
4.3,0.679304
4.2,0.668509
4.1,0.657595
4,0.646558
3.9,0.635396
3.8,0.624104
3.7,0.612681
3.6,0.601121
3.5,0.589422
3.4,0.57758
3.3,0.565589
3.2,0.553446
3.1,0.541145
3,0.528683
2.9,0.516052
2.8,0.503248
2.7,0.490264
2.6,0.477093
2.5,0.463729
2.4,0.450163
2.3,0.436387
2.2,0.422391
2.1,0.408167
2,0.393702
1.9,0.378984
1.8,0.364001
1.7,0.348737
1.6,0.333175
1.5,0.317298
1.4,0.301083
1.3,0.284506
1.2,0.267539
1.1,0.25015
1,0.232299
0.9,0.213939
0.8,0.195014
0.7,0.175451
0.6,0.155159
0.5,0.134012
0.4,0.111837
0.3,0.0883658
0.2,0.0631452
0.1,0.0351865
1.40435e-12,-5.87E+07
